sha,message,author,date
db0feab177e81f7aacd33fa68add0331735837ed,Merge pull request #317 from CoinbaseStablecoin/v2.1,Peter Jihoon Kim,2021-01-25T20:42:37Z
7e49288a6c06c29e28df36ebbb28a10924e045e9,Add additional checks to V2_1Upgrader test,Peter Jihoon Kim,2021-01-15T08:58:49Z
e0e9a925aa3a8fe9af558c73aa427eab322a80ff,Update Ganache,Peter Jihoon Kim,2021-01-15T08:56:59Z
cd51835549c4462dbbce7fdaf75e3aa24a1e43be,Implement V2_1Upgrader and migration scripts,Peter Jihoon Kim,2020-12-20T02:48:47Z
a1749959a06df0719ca26ff7792e2160f957963b,Add an intialization function for v2.1,Peter Jihoon Kim,2020-12-17T21:58:01Z
a009b09f788a6a9fb5d4381ecb764164b48ae621,Conform to EIP-3009,Peter Jihoon Kim,2020-12-16T01:29:54Z
681329fb174f9121a5fee732c5b20133c831fdbc,Remove functions not present in EIP-3009,Peter Jihoon Kim,2020-12-15T23:08:45Z
5013157edecbaf5da7fb9e3afa85992965077c88,Merge pull request #311 from centrehq/v2,Peter Jihoon Kim,2020-07-30T21:00:02Z
ee1809d6a4fe9fbcd2176726883dccc6f00a5846,Merge pull request #310 from CoinbaseStablecoin/v2_upgrade,Peter Jihoon Kim,2020-07-28T18:10:39Z
851741671f874f6691ed46ac1ff15c87118674e0,Embed utility contracts instead of linking,Peter Jihoon Kim,2020-07-24T18:50:24Z
7dd6a186b6e0ea5262714f5b90325cbbd179f374,Fix coverage test,Peter Jihoon Kim,2020-07-24T01:29:42Z
aaf848509287ff14938974fa872312634d5d2253,Split up v2 deployment migration to multiple smaller migrations,Peter Jihoon Kim,2020-07-22T19:20:24Z
e63f79115a75e417c5725941307c5958f5c18dcd,Make it possible to override FiatTokenProxy address in migrations,Peter Jihoon Kim,2020-07-22T19:08:55Z
6ba149de047bb4bbecece1983b215879f2dd3c2d,Simplify upgrade procedure by making upgrade() not to take in any args,Peter Jihoon Kim,2020-07-22T18:41:13Z
9bc5101def356f3fc3c111a484b4848f0ffcaf3f,Read addresses of various roles from config.js,Peter Jihoon Kim,2020-07-21T23:10:23Z
a4a423de2968a085c42233fbfef762c285c1f440,Update Truffle config to read the mnemonic and INFURA key from a file,Peter Jihoon Kim,2020-07-21T21:48:58Z
b42cf04b31639b8b05d53fea9995954d5f3659d9,Upgrade to Solidity 0.6.12,Peter Jihoon Kim,2020-07-21T20:48:41Z
9a61c14bb040e3c21df1a18862d851e7ec427f10,Move address verification from EIP712 to GasAbstraction and Permit,Peter Jihoon Kim,2020-07-21T19:19:45Z
3f4912e51bc8d6e8d196b34b16c9240012d4ee52,Update packages and reformat code,Peter Jihoon Kim,2020-07-21T19:13:57Z
6639db986c0e5bc14039215fb44053f7947ed08b,Implement upgrader contract for V2,Peter Jihoon Kim,2020-07-21T18:39:13Z
ff9f3cd0beb98c78b588393694069a29aa54655c,Remove generated TypeScript definition files,Peter Jihoon Kim,2020-07-22T21:26:49Z
dffc3e31a4d941f1a38ac0d81c350696482c8244,Fix tests in #302 that were affected by changes in #305,Peter Jihoon Kim,2020-07-17T19:15:09Z
6e1c4cdcf4de84256b3fd94dce3ea30a9fbecee8,Merge pull request #307 from CoinbaseStablecoin/v2-oz-N02,Peter Jihoon Kim,2020-07-17T17:10:31Z
1b2b7070462fd8b4f37490519821052dd121ba19,Merge branch 'v2' into v2-oz-N02,Peter Jihoon Kim,2020-07-17T17:10:12Z
a8444ad8ac179c9bb9d5f263b711f9c270fc99b9,Merge pull request #306 from CoinbaseStablecoin/v2-oz-L04,Peter Jihoon Kim,2020-07-17T17:09:23Z
693d83aaf414f191eefef41bb0847f83f34952d6,Merge pull request #305 from CoinbaseStablecoin/v2-oz-L03,Peter Jihoon Kim,2020-07-17T17:09:11Z
32909198fefdb71e03b2d06606d19aa8837aaa1c,Merge pull request #304 from CoinbaseStablecoin/v2-oz-L02,Peter Jihoon Kim,2020-07-17T17:08:51Z
9de45f0e5ff94db059d1bb0b71e3cd8188aeeeb3,Merge pull request #303 from CoinbaseStablecoin/v2-oz-L01,Peter Jihoon Kim,2020-07-17T17:08:39Z
5dcac53f9006379024a8d81d06ed9888ee79106a,Merge pull request #302 from CoinbaseStablecoin/v2_transfer_multiple,Peter Jihoon Kim,2020-07-17T17:08:24Z
5e024db781982a6c6aa7a6fce0fce21be25a2db7,Fix pointer math for revert reason bubbling,Peter Jihoon Kim,2020-07-15T19:37:38Z
ea64acc5587f0ef0c414c3d7607b72ef0c948e01,Handle reasonless reverts in FiatTokenUtil,Peter Jihoon Kim,2020-07-14T18:57:57Z
6ba9ffa06d67bd4b06937583ac4f32fe2aebde36,Remove the external call to check for paused state in FiatTokenUtil,Peter Jihoon Kim,2020-07-14T18:49:43Z
6925c91db09479934f602800133cb5a59f019bae,Document the format of the input for transferWithMultipleAuthorizations,Peter Jihoon Kim,2020-07-14T17:58:39Z
50a7b335167342df4508df2dd5629d59b9f5bf25,Clarify comments,Peter Jihoon Kim,2020-07-09T21:55:00Z
e27ed34e350b56d2508e22e880f747185690760f,Provide transferWithMultipleAuthorizations in FiatTokenUtil,Peter Jihoon Kim,2020-07-10T03:55:14Z
5b5003f88594f15f3340758c4d73cac5b766db89,Rename permitter to owner in Permit.sol for consitency,Peter Jihoon Kim,2020-07-09T22:31:40Z
276570ff337835014cd662eeb876008d359e638b,Mark authorization as used before performing action,Peter Jihoon Kim,2020-07-09T21:59:24Z
72fc1c47b794c481f24a05c90050daba72d87a7a,Remove unnecessary inheritance,Peter Jihoon Kim,2020-07-09T22:05:10Z
916e2a24316ddb8293e84c73eac3a32703130735,Use token name in EIP712Domain definition,Peter Jihoon Kim,2020-07-09T18:51:10Z
102337148d15edac522b007a8b0c7f4d5458bdf3,Merge pull request #301 from CoinbaseStablecoin/gas-abstraction,Erik Tierney,2020-06-10T15:15:57Z
e361603b164f1b76f147c343070ebeb5d3ab5ce1,Improve test coverage and refactor some tests,Peter Jihoon Kim,2020-06-09T21:19:23Z
a2aa5114eaa997f4505626fe458a6d29982cad35,Implement Permit for compatibility with the draft EIP2612,Peter Jihoon Kim,2020-05-27T21:19:10Z
6e5d6a41434f021a1ffabb6a3b572f59b9f4a93a,Implement gas-abstracted safe allowance functions,Peter Jihoon Kim,2020-05-26T19:43:24Z
285791e8f51c6a69a5af46dc456d7a683c27432e,Add increaseAllowance and decreaseAllowance to FiatTokenV2,Peter Jihoon Kim,2020-05-23T00:23:30Z
d104904b2ca29ac6516b82d9289b9cc4859d9398,Implement Gas Abstraction,Peter Jihoon Kim,2020-05-22T19:21:25Z
174bed0afa1fc434aec85554958bb22ce15efa29,Enable Solidity optimizer,Peter Jihoon Kim,2020-05-22T19:07:23Z
97e59a3e71d2ed014cf89bdbb98b06bb39208529,Add ethereumjs-util package and update packages,Peter Jihoon Kim,2020-05-22T19:05:00Z
036dff86023f2b6252c586b9cb4a913f09ffaf33,Relax some frequently silenced solhint rules,Peter Jihoon Kim,2020-05-19T23:27:31Z
c0c901053c7c423b303aff9414079e85a46ba7cc,"Refactor ERC20 approve, transfer, and transferFrom",Peter Jihoon Kim,2020-05-19T19:49:46Z
0b45a40f9df8e43d6710848b214f5f71e0997dc8,Merge pull request #300 from CoinbaseStablecoin/slither-fixes,Erik Tierney,2020-06-02T19:26:09Z
4bd572cb501fa59e1f9e20d63c4f0547716ee761,Add a test to ensure changing access modifier doesn't break things,Peter Jihoon Kim,2020-06-02T19:06:58Z
10a5161be2979f6ceaba5ec62b03d9e51718726f,Fix local variable shadowing where appropriate,Peter Jihoon Kim,2020-05-28T19:33:11Z
36e952c25583aacd955ac695a0623fe4cb774ff1,Mark public functions that are never invoked internally as external,Peter Jihoon Kim,2020-05-28T19:27:04Z
b20f1a8084c7607937d1e20faee6f86b849a2cd8,Fix unnecessary boolean equality,Peter Jihoon Kim,2020-05-28T19:21:46Z
f20f4b2c87eabe553a63f54e810196b0b0e30174,Add Slither configuration,Peter Jihoon Kim,2020-05-28T01:53:59Z
